Denominazione|Città|Stato|Nome|Indirizzo|Direttore|Numeri Utili|Sito Web|Email|Attività|Luogo
Bacau|Bacau|Romania|(2000) 2003 Fundatia "Sfântul Ioan Bosco"|Str. Tazlaului, 9 600372 Bacau (Romania)|don Andrei Laslau|Comunità - 0040 234 582330|https://donboscobc.ro/|bacau@salesianinordest.it|Oratorio; Centro giovanile; Animazione pastorale e vocazionale; Corsi professionali; Scuola Primaria; Doposcuola|Romania
Bardolino|Bardolino|Italia|(1968) 1962 istituto Salesiano "Sacro Cuore"|Strada di Sem, 1 37011 Bardolino (VR)|(laico) Matteo Bortoletto|Comunità - 045 6211311Direzione - 045 6227633Economo - 045 6227634CFP - 045 6211310Comunità per minori DAB (c/o Albarè) - 045 6201034|https://www.salesianibardolino.it/ |direttore@salesianibardolino.it |Attività:Centro di Formazione Professionale - settore: meccanico, impiantistico, addetti alle vendite, vitivinicolo; Centro di Accoglienza Gruppi; Cappellanie; Comunità Educativa per Minori (Associazione DAB c/o Albarè); Doposcuola; Formazione continua.|Triveneto
Belluno|Belluno|Italia|(1924) 1952 Istituto Salesiano "Agosti"|Piazza San Giovanni Bosco 12 32100 Belluno (BL)|don Alberto Maschio|Comunità - 0437 34815Parrocchia - 0437 34815Centro Giovanile - 0437 31887Casa Alpina Santa Fosca - 0437 720125|https://salesianibelluno.it/ |belluno@salesianinordest.it |Convitto studenti scuola superiore; Scuola primaria paritaria; Scuola secondaria di 1° grado paritaria; Parrocchia; Oratorio; Centro Giovanile.|Triveneto
Bolzano|Bolzano|Italia|(1932) 1942 Istituto Salesiano "Rainerum"|Piazza Domenicani 15 C.P. 461 39100 Bolzano (BZ)|don Ivan Ghidina|Comunità - 0471 972283|https://www.rainerum.it/ |bolzano@salesianinordest.it |Scuola Secondaria di 1° grado paritaria; Scuola Secondaria di 2° grado paritaria: liceo scientifico delle scienze applicate curvatura robotica, ITT meccatronico curvatura energia; Convitto studenti scuola superiore; Cappellanie; Associazione Iuvenes - doposcuola; Associazione Ideali; Sala della comunità.|Triveneto
Castello di Godego C.|Italia|(1998) 2001 Casa Salesiana "Mons. Cognata"|Via Roma, 33 31030 Castello di Godego (TV)|don Michele Rigoni|Comunità - 0423 1952230||cognata@salesianinordest.it|Comunità per confratelli ammalati.|Triveneto
Castello di Godego I|Italia|(1946) 1948 Istituto Salesiano "E. di Sardagna"|Via Roma, 33 31030 Castello di Godego (TV)|don Enrico Peretti|Comunità - 0423 468 935 / 0423 469 360|https://www.salesianigodego.it/ |info@salesianigodego.it |Scuola Primaria paritaria; Scuola Secondaria di 1° grado paritaria; Animazione Pastorale Educativa giovanile del territorio; Animazione Territoriale.|Triveneto
Venezia|Chioggia Venezia|Italia|(1899) 1926 Casa Religiosa "San Giusto"| Calle don Bosco, 361 30015, Chioggia (VE)| don Claudio Parolin| Comunità - 041 400365|http://www.salesianichioggia.it/ |chioggia@salesianinordest.it |Parrocchia; Oratorio; Centro giovanile; Doposcuola; Sala della comunità.|Triveneto
Chisinau |Chisinau|Moldavia|(2005) 2007 Fundatia don Bosco| Stradela Muncesti, 9 2002, Chisinau (Moldavia)| don Andrea Ballan| Comunità - 00373 22 843054|http://donbosco.md/ |chisinau@salesianinordest.it |Oratorio; Centro giovanile; Corsi professionali; Casa famiglia; Parrocchia.|Moldavia
Costanta | Costanta|Romania|(1997) 1999 Centrul Salezian don Bosco| Str. Veniamin Costache, 66 900036 Costanta (Romania)| don Venceslau Grosu| Comunità - 0040 241 516040 Cfp - 0040 241 588472|http://www.donboscocostanta.ro/ |ct@donbosco.ro |Oratorio; Centro giovanile; Animazione giovanile e vocazionale; Casa famiglia; Corsi professionali; Doposcuola.|
Este|Padova|Italia|Istituto Salesiano "Manfredini"| Via Manfredini, 12 35042 Este (PD)| don Paolo De Cillia| Comunità - 0429 612101 Direzione - 0429 612157 Amministrazione - 0429 612156|https://www.cfpmanfredini.com/ |info@cfpmanfredini.it |Centro di Formazione professionale - settore: meccanico, elettro-elettronico, grafico, ristorazione; Formazione Continua.|Triveneto
Gorizia|Gorizia|Italia|(1895) 2015 Convitto Salesiano San Luigi|Via D. Bosco 48 34170 Gorizia (GO) Italia| don Vincenzo Salerno| Comunità - 0481 090477 Parrocchia San Giuseppe Artigiano - 0481 535336 Parrocchia Santi Vito e Modesto - 0481 533236|https://salesianisanluigi.it/ |sdbgorizia@salesianinordest.it |Parrocchie e unità pastorale; Oratorio; Centro giovanile; Comunità Minori Stranieri Non Accompagnati.|Triveneto
Mestre A. Zatti|Venezia|Italia|2008 Casa Salesiana "Artemide Zatti"| Via dei Salesiani, 15 30174 Venezia - Mestre (VE)| don Franco Campello| Comunità - 041 5498 600 Direzione - 041 5498 611 Suore - 041 5498 665|zatti@salesianinordest.it |Attività Comunità per confratelli ammalati.|Triveneto
Salesiani Don Bosco Mestre|Mestre|Italia|(1959) 2020 Salesiani Don Bosco Mestre (Venezia)| Via dei Salesiani, 15 30174 Venezia - Mestre (VE)| don Silvio Zanchetta| Segreteria - 041 5498 111 Direzione - 041 5498 124|https://www.salesianimestre.it/ |info@salesianimestre.it |Centro di Formazione professionale - settore: meccanico, elettrico, grafico; Scuola superiore di 2° grado paritaria: Istituto Tecnico Grafica e Comunicazione, Istituto Tecnico Meccatronico indirizzo Energia; Centro Convegni; IUSVE - Istituto Universitario Salesiano Venezia con Corsi di Laurea Triennale e Magistrale nelle aree: comunicazione, pedagogia, psicologia; Master e Corsi di Alta Formazione; Progetti di ricerca; Centro di studi e documentazione; Ospitalità; Formazione Continua.|Triveneto
Mezzano di Primiero|Trento|Italia|1964 Istituto Salesiano S. Croce| Via Molaren, 29 38050 Mezzano di Primiero (TN)| don Giovanni Rebellato| Comunità - 0439 762019|https://salesianimezzano.it/ |mezzano@salesianinordest.it |Scuola primaria paritaria; Scuola secondaria di 1° grado paritaria; Casa di ospitalità; Animazione giovanile decanale.|Triveneto
Mogliano Veneto C.P.|Treviso|Italia|(1981) 2007 Comunità Proposta| Via F. Barbiero, 7 31021 Mogliano Veneto (TV)| don Luca Bernardello| Comunità - 041 5902338|https://www.donboscoland.it/it/ |proposta@salesianinordest.it |Comunità vocazionale; Pre-Noviziato.|Triveneto
Mogliano Veneto I. |Treviso|Italia|(1882) 1926 Collegio Salesiano "Astori"| Via Marconi, 22 31021 Mogliano Veneto (TV)| don Roberto Guarise|Numeri utili: Comunità - 041 5987 111 Direzione - 041 5987 400 Amministrazione - 041 5987 401 Cospes - 041 5902 318 Studio tecnico - 041 5987 484 Eurogroup TGS - 041 5904 717|https://www.astori.it/ |direzione@astori.it |Scuola primaria paritaria; Scuola secondaria di 1° grado paritaria; Scuola secondaria di 2° grado paritaria: Liceo classico, Liceo scientifico, Liceo linguistico, Istituto tecnico economico, Istituto tecnico-tecnologico; Studio tecnico "M.C.";Centro di Orientamento (Associazione Cospes); TGS Eurogroup; Chiesa semipubblica; Biblioteca.|Triveneto
Monteortone|Padova|Italia|1937 Istituto Salesiano San Marco| Via Santuario, 130 35030 Monteortone (PD)| don Antonio Marostegan| Direttore Comunità - 049 8639 996 Casa per ferie - 049 8669 041 Direttore Albergo M. M. - 049 8639 820 Segreteria Albergo M. M. - 049 8669 350|http://www.termesalesiani.it/ | sanmarco@termesalesiani.it |"Terme San Marco": convegni, ospitalità, ritiri. "Terme Mamma Margherita": cure termali (fangoterapia, inalazioni), ospitalità.|Triveneto
Padova|Padova|Italia|1957 [2019] Istituto Salesiano Domenico Savio| Via Asolo, 4 35142 Padova (PD)|Incaricato Collegio Universitario: don Paolo Zuccato| Collegio Universitario - 049 8827323 Piccolo Teatro Don Bosco - 049 8827288|https://salesiani.padova.it/ |collegio@salesiani.padova.it |Collegio universitario; Sala della comunità (Piccolo Teatro Don Bosco); Doposcuola.|Triveneto
Pordenone|Pordenone|Italia|(1924) 1926 Collegio Don Bosco| Viale Grigoletti, 3 33170 Pordenone (PN)| don Livio Mattivi| Comunità - 0434 383 411 Direzione - 0434 383 403 Amministrazione - 0434 383 404 Parrocchia - 0434 383 488 Oratorio - 0434 383 453 Centro Orientamento - 0434 362 269|https://donbosco-pn.it/ |pordenone@salesianinordest.it |Scuola primaria; Scuola secondaria di 1° grado paritaria; Parrocchia; Oratorio; Centro giovanile; Centro Diurno; Centro di Orientamento (Associazione Iripes); Ospitalità; Doposcuola.|Triveneto
